territory_code,territory_name,year,population,area_km2,gdp,tourism_nights,density,log_density,log_gdp,log_tourism_nights
ITF3,Campania,2019,5740291,13670.598,112784.7,18030427.0,419.90050471822815,6.040017789685682,11.633235970548517,16.70757127765004
ITF3,Campania,2020,5712143,13670.598,102472.9,11361135.0,417.84148725608054,6.035102143513056,11.537353652359435,16.245708878238243
ITF3,Campania,2021,5624260,13675.6929,110887.1,14906040.0,411.2596006012975,6.01922464673426,11.616267845562726,16.517277057903335
ITF3,Campania,2022,5624420,13675.6929,117968.0,17754294.0,411.2713001913051,6.019253094516579,11.678168680229431,16.692137960121823
ITF3,Campania,2023,5609536,13675.6929,119365.4,18507040.0,410.1829458308471,6.016603269520098,11.689944655701094,16.733661758201904
ITF3,Campania,2024,5593906,13675.6929,,18530994.0,409.04004213197857,6.013813053773838,,16.73495523956432
ITF4,Puglia,2010,4090111,19540.1737,78538.6,9515029.0,209.3180471573802,5.343854852000236,11.271345502661186,16.068383106526976
ITF4,Puglia,2011,4101558,19540.5182,78759.3,9328219.0,209.90016528834943,5.346632014288637,11.274151644953282,16.048554664998356
ITF4,Puglia,2012,4102797,19540.5181,77659.2,8884657.0,209.96357307434954,5.346934054120557,11.260085301919181,15.9998364144363
ITF4,Puglia,2013,4090530,19540.5182,74995.1,8558958.0,209.3357994978864,5.343939658771552,11.2251780570508,15.96248901173639
ITF4,Puglia,2014,4077788,19540.5182,75173.8,8499794.0,208.68371853106743,5.340819797293242,11.22755804497575,15.955552485872747
ITF4,Puglia,2015,4063269,19540.5182,76092.0,9229763.0,207.94069831781638,5.33725293481011,11.239698413488032,16.03794392900961
ITF4,Puglia,2016,4043735,19540.5181,76539.6,9511083.0,206.94103295040063,5.332433887709725,11.24556353294043,16.067968308163906
ITF4,Puglia,2017,4024067,19540.5181,76853.9,10244421.0,205.93450897292226,5.327558200635892,11.249661495889896,16.14224382268473
ITF4,Puglia,2018,4000966,19540.5181,77371.5,10404485.0,204.7522987632554,5.321800949841121,11.256373774715009,16.157747521150046
ITF4,Puglia,2019,3975528,19540.5181,77445.5,10542495.0,203.45049090586804,5.315422687351488,11.257329742155736,16.17092479033193
