Region;Year;territory_code;population;log_population;area_km2;density;log_density;gdp;log_gdp;gdp_per_capita;log_gdp_per_capita;tourism_arrivals;log_tourism_arrivals;tourism_nightspent;log_tourism_nightspent;HPI_average;log_HPI_average;Observation_Disp_Income;log_Observation_Disp_Income;Observation_Average_Monthly_Exp;log_Observation_Average_Monthly_Exp;Observation_CPI_housing;log_Observation_CPI_housing;Observation_Income_Percentage
Calabria;2023;ITF6;1846610.0;14.428862083663956;15219.2985;121.3334504215158;4.798542543980658;35269.2;10.470765340806706;19099.43084896107;9.857413815107025;1406587;14.15667676066917;4028905.0;15.20900518484362;649.2774869109948;6.475860186051772;29179.2;10.281211405662567;228.0;5.429345628954441;147.4;4.993149979755236;10.3
Calabria;2024;ITF6;1838568.0;14.424497565713393;15219.2985;120.80504236118372;4.794178026030094;;;;;1408087;14.157742603563943;4059624.0;15.216600916451828;639.5609907057917;6.460781988958786;;;221.0;5.3981627015177525;137.4;4.922896379788249;9.4
Campania;2011;ITF3;5822827.0;15.577296440606318;13670.598;425.9379874969625;6.054293766417182;114190.1;11.645619882428736;19610.766385468774;9.883833999786694;3797236;15.149783991614807;15468971.0;16.554346704499867;1196.9139579349903;7.087501821549977;72886.0;11.196651855658212;298.0;5.697093486505405;;;14.6
Campania;2012;ITF3;5827593.0;15.578114608580668;13670.598;426.2866189174753;6.055111934391531;111334.2;11.620291767691567;19104.662937168054;9.857687717075173;3610689;15.099409170823616;14426844.0;16.4846011958106;1170.8778184307298;7.065509018641358;69627.5;11.150914883227687;292.0;5.676753802268282;;;13.8
Campania;2013;ITF3;5820430.0;15.576884700139907;13670.598;425.762647691052;6.05388202595077;108119.3;11.590990526081598;18575.82687189778;9.829616383905964;3496990;15.067413156447486;13732067.0;16.435244312662295;1116.7097976008165;7.018141960122237;69181.4;11.144487319349128;279.0;5.631211781821365;;;13.8
Campania;2014;ITF3;5812768.0;15.57556743534171;13670.598;425.2021747695309;6.052564761152575;108137.6;11.591159769236786;18603.460520013872;9.831102891859349;3598157;15.095932327893594;13615316.0;16.426705893515845;1103.641693393855;7.006370621073013;70161.8;11.158559282361207;282.0;5.641907070938114;;;14.4
Campania;2015;ITF3;5804370.0;15.574121640092851;13670.598;424.5878636764829;6.051118965903714;110075.3;11.60891995603473;18964.211447581736;9.850308873906155;3894704;15.175128239534018;14594612.0;16.496162977470252;1071.788386032572;6.977083921055569;71521.4;11.177751984599881;276.0;5.62040086571715;;;13.6
Campania;2016;ITF3;5790783.0;15.57177807356662;13670.598;423.593978844232;6.048775399377484;110406.9;11.611927910872089;19065.97087129668;9.855660395269743;4479296;15.314976449185792;15771173.0;16.573694337910513;1053.032355575459;6.959429238704131;72222.3;11.187504141458097;280.0;5.634789603169249;98.7;4.592084946439436;13.9
Campania;2017;ITF3;5776654.0;15.569335180291905;13670.598;422.5604468802316;6.046332506102768;111570.7;11.62241374965556;19314.07004816283;9.86858912732793;4704783;15.364090208790289;16540350.0;16.62131340815818;1051.6199478921783;6.9580870617630906;72620.6;11.19300390712092;278.0;5.627621113690637;100.2;4.607168188650764;13.7
Campania;2018;ITF3;5762889.0;15.566949469431647;13670.598;421.5535414032364;6.04394679524251;111959.0;11.625888011828158;19427.58224217055;9.874449100360787;5057459;15.436374741219057;17227171.0;16.66199840465776;1051.226893597836;6.957713231114881;73943.2;11.211052509887926;277.0;5.6240175061873385;103.1;4.635699391022914;13.4
Campania;2019;ITF3;5740291.0;15.563020463874818;13670.598;419.90050471822815;6.040017789685682;112784.7;11.633235970548517;19647.906351786;9.885726064637973;5262173;15.476054617274922;18030427.0;16.70757127765004;1049.995491433724;6.9565411492697065;74889.4;11.223767637460751;290.0;5.66988092298052;104.3;4.647271362006727;13.6
Campania;2020;ITF3;5712143.0;15.558104817702192;13670.598;417.8414872560805;6.035102143513056;102472.9;11.537353652359435;17939.484358147198;9.794759392621517;2960220;14.900774147862652;11361135.0;16.245708878238243;1021.1953336339044;6.928729115864042;73375.0;11.203338557130397;264.0;5.575949103146316;101.5;4.620058798481842;11.7
