Region,Year,territory_code,population,area_km2,density,log_density,gdp,gdp_per_capita,log_gdp,log_gdp_per_capita,tourism_arrivals,tourism_nightspent,log_tourism_nightspent,Observation_Average_Monthly_Exp,Observation_CPI_housing,Observation_Disp_Income,Observation_Income_Percentage,HPI_average
Molise,2024,ITF2,289224.0,4460.563,64.84024550264171,4.171926483144109,,,,,261388,860689.0,13.665488510260788,252.0,143.9,,9.5,668.7192834458118
Piemonte,2011,ITC1,4410887.0,25386.697,173.74796729168824,5.157605785335824,139833.2,31701.83230719808,11.848205562704743,10.364129759683829,5245637,18947271.0,16.757170468568106,347.0,,85934.3,12.9,1102.8424732307126
Piemonte,2012,ITC1,4416745.0,25386.697,173.97871806639515,5.15893298177081,132774.0,30061.5045695416,11.79640371372392,10.31100071426802,4733233,16677890.0,16.629594448092266,352.0,,82633.5,13.1,1070.4978377580378
Piemonte,2013,ITC1,4425816.0,25386.697,174.3360311898787,5.160984650553623,132507.3,29939.63147134901,11.7943930172304,10.306938348991686,4637034,16085933.0,16.593455721324958,362.0,,82511.5,13.7,1051.760439751673
Piemonte,2014,ITC1,4420924.0,25386.697,174.14333184029414,5.159878706330413,131140.5,29663.595212222604,11.784024546529574,10.297675822514073,4873380,16861835.0,16.640563342100787,354.0,,83035.9,14.4,1048.6018147019363
Piemonte,2015,ITC1,4403562.0,25386.697,173.4594303465315,5.155943741188491,132573.6,30105.99146781628,11.79489324188923,10.312479483015649,4919308,16932238.0,16.644729936749062,348.0,,83333.6,13.8,1019.1204743908332
Piemonte,2016,ITC1,4384226.0,25386.6972,172.69777023219862,5.151543073848661,134131.6,30594.134517700502,11.806576686550851,10.32856358713896,5049113,17122755.0,16.655918838628367,350.0,98.2,84305.2,13.9,1000.1277735793764
Piemonte,2017,ITC1,4370348.0,25386.6972,172.15110597372234,5.148372614240936,138049.3,31587.713381176967,11.83536614671886,10.360523506914692,5070239,16997123.0,16.648554652404464,310.0,99.5,86429.3,12.3,991.6054669127116
Piemonte,2018,ITC1,4349911.0,25386.6974,171.34607670551114,5.1436853516798,139084.0,31973.987513767523,11.84283334613388,10.372677961012704,5055682,16561560.0,16.622594905383124,317.0,101.7,87409.1,12.3,985.6484437564689
Piemonte,2019,ITC1,4328565.0,25386.6971,170.50524465429572,5.138766056686231,138296.6,31949.757021091285,11.837155933113486,10.371919854803094,5273804,17320008.0,16.66737292299222,347.0,102.8,87812.4,12.6,975.59796022237
