DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Toscana,2018,13842003,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Toscana,2019,13674147,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Umbria,2015,1007123,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Umbria,2016,978791,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Umbria,2017,890287,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Umbria,2018,986442,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Umbria,2019,944516,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Marche,2015,1194133,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Marche,2016,1124734,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Marche,2017,1030689,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Marche,2018,824840,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Marche,2019,808968,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lazio,2015,16083858,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lazio,2016,15410579,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lazio,2017,15621835,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lazio,2018,16437756,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lazio,2019,17789353,,
